t,infer,step,vx_raw,wz_raw
1784787586.2333,105,49,0.02312,-0.13161
1784787586.2333,105,50,0.03595,-0.07435
1784787586.2333,105,51,0.03668,-0.0726
1784787586.2333,105,52,0.036,-0.07589
1784787586.2333,105,53,0.03342,-0.08136
1784787586.2333,105,54,0.02982,-0.08644
1784787586.2333,105,55,0.02663,-0.09505
1784787586.2333,105,56,0.02354,-0.11135
1784787586.2333,105,57,0.01912,-0.1137
1784787586.2333,105,58,0.02023,-0.11007
1784787586.2333,105,59,0.01856,-0.11257
1784787586.5683,106,0,0.0237,-0.03567
1784787586.5683,106,1,0.0213,-0.04905
1784787586.5683,106,2,0.01482,-0.04805
1784787586.5683,106,3,0.01174,-0.05908
1784787586.5683,106,4,0.01244,-0.05671
1784787586.5683,106,5,0.01222,-0.0543
1784787586.5683,106,6,0.02285,-0.06827
1784787586.5683,106,7,0.02224,-0.04945
1784787586.5683,106,8,0.02218,-0.05269
1784787586.5683,106,9,0.02434,-0.05376
1784787586.5683,106,10,0.02607,-0.06684
1784787586.5683,106,11,0.0222,-0.05635
1784787586.5683,106,12,0.0254,-0.05828
1784787586.5683,106,13,0.02654,-0.05246
1784787586.5683,106,14,0.02508,-0.05292
1784787586.5683,106,15,0.02422,-0.0584
1784787586.5683,106,16,0.02568,-0.06511
1784787586.5683,106,17,0.025,-0.0697
1784787586.5683,106,18,0.02541,-0.07084
1784787586.5683,106,19,0.01939,-0.12892
1784787586.5683,106,20,0.0218,-0.13223
1784787586.5683,106,21,0.0191,-0.12919
1784787586.5683,106,22,0.01906,-0.11625
1784787586.5683,106,23,0.02383,-0.11267
1784787586.5683,106,24,0.02369,-0.11506
1784787586.5683,106,25,0.02456,-0.12397
1784787586.5683,106,26,0.0236,-0.11276
1784787586.5683,106,27,0.02248,-0.10565
1784787586.5683,106,28,0.02159,-0.095
1784787586.5683,106,29,0.02255,-0.0856
1784787586.5683,106,30,0.02007,-0.06592
1784787586.5683,106,31,0.02301,-0.08467
1784787586.5683,106,32,0.02604,-0.09177
1784787586.5683,106,33,0.0262,-0.09522
1784787586.5683,106,34,0.02509,-0.09727
1784787586.5683,106,35,0.02565,-0.10259
1784787586.5683,106,36,0.02584,-0.1013
1784787586.5683,106,37,0.02812,-0.0997
1784787586.5683,106,38,0.02838,-0.09666
1784787586.5683,106,39,0.02743,-0.10197
1784787586.5683,106,40,0.02842,-0.10581
1784787586.5683,106,41,0.02792,-0.10736
1784787586.5683,106,42,0.02739,-0.11451
1784787586.5683,106,43,0.02833,-0.10764
1784787586.5683,106,44,0.02904,-0.10959
1784787586.5683,106,45,0.03048,-0.11429
1784787586.5683,106,46,0.02644,-0.10811
1784787586.5683,106,47,0.02331,-0.1071
1784787586.5683,106,48,0.0258,-0.10535
1784787586.5683,106,49,0.02488,-0.09862
1784787586.5683,106,50,0.01576,-0.04767
1784787586.5683,106,51,0.01931,-0.06331
1784787586.5683,106,52,0.02031,-0.06973
1784787586.5683,106,53,0.02492,-0.07776
1784787586.5683,106,54,0.02682,-0.08404
1784787586.5683,106,55,0.02944,-0.08729
1784787586.5683,106,56,0.02103,-0.06622
1784787586.5683,106,57,0.02139,-0.05441
1784787586.5683,106,58,0.02195,-0.05164
1784787586.5683,106,59,0.02227,-0.05946
1784787586.9112,107,0,0.02028,0.01937
1784787586.9112,107,1,0.02566,-0.01097
1784787586.9112,107,2,0.02451,-0.00247
1784787586.9112,107,3,0.01923,-0.01067
1784787586.9112,107,4,0.02047,-0.0088
1784787586.9112,107,5,0.02001,-0.00404
1784787586.9112,107,6,0.02625,-0.00377
1784787586.9112,107,7,0.02937,-0.00457
1784787586.9112,107,8,0.03447,-0.02789
1784787586.9112,107,9,0.03963,-0.04937
1784787586.9112,107,10,0.04348,-0.06429
1784787586.9112,107,11,0.03787,-0.06145
1784787586.9112,107,12,0.03554,-0.06754
1784787586.9112,107,13,0.03542,-0.09798
1784787586.9112,107,14,0.03829,-0.04166
1784787586.9112,107,15,0.03921,-0.02894
1784787586.9112,107,16,0.03875,-0.02905
1784787586.9112,107,17,0.03894,-0.03064
1784787586.9112,107,18,0.0421,-0.06091
1784787586.9112,107,19,0.03239,-0.07372
1784787586.9112,107,20,0.03397,-0.07755
1784787586.9112,107,21,0.03249,-0.07781
1784787586.9112,107,22,0.02901,-0.06484
1784787586.9112,107,23,0.02487,-0.0571
1784787586.9112,107,24,0.02776,-0.05424
1784787586.9112,107,25,0.02642,-0.0561
1784787586.9112,107,26,0.0324,-0.05823
1784787586.9112,107,27,0.03413,-0.05
1784787586.9112,107,28,0.03891,-0.04558
1784787586.9112,107,29,0.04539,-0.04259
1784787586.9112,107,30,0.04785,-0.0446
1784787586.9112,107,31,0.03931,-0.03787
1784787586.9112,107,32,0.0382,-0.03227
1784787586.9112,107,33,0.03861,-0.04524
1784787586.9112,107,34,0.03848,-0.05458
1784787586.9112,107,35,0.04118,-0.06296
1784787586.9112,107,36,0.03407,-0.06935
1784787586.9112,107,37,0.03522,-0.08365
1784787586.9112,107,38,0.03776,-0.09233
1784787586.9112,107,39,0.03815,-0.08949
1784787586.9112,107,40,0.03566,-0.08397
1784787586.9112,107,41,0.02571,-0.05795
1784787586.9112,107,42,0.02447,-0.05937
1784787586.9112,107,43,0.02598,-0.06415
1784787586.9112,107,44,0.02015,-0.06613
1784787586.9112,107,45,0.02571,-0.05985
1784787586.9112,107,46,0.02894,-0.07506
1784787586.9112,107,47,0.03077,-0.0833
1784787586.9112,107,48,0.03468,-0.09657
1784787586.9112,107,49,0.03368,-0.0884
1784787586.9112,107,50,0.03011,-0.10946
1784787586.9112,107,51,0.0312,-0.11137
1784787586.9112,107,52,0.03038,-0.11887
1784787586.9112,107,53,0.03002,-0.12835
1784787586.9112,107,54,0.03334,-0.13304
1784787586.9112,107,55,0.035,-0.12457
1784787586.9112,107,56,0.03549,-0.11183
1784787586.9112,107,57,0.03635,-0.08211
1784787586.9112,107,58,0.03814,-0.10723
1784787586.9112,107,59,0.03988,-0.11287
1784787587.2499,108,0,0.01612,-0.03766
1784787587.2499,108,1,0.01795,-0.04876
1784787587.2499,108,2,0.01872,-0.05313
1784787587.2499,108,3,0.02032,-0.06965
1784787587.2499,108,4,0.01795,-0.07392
1784787587.2499,108,5,0.01828,-0.06259
1784787587.2499,108,6,0.02859,-0.0225
1784787587.2499,108,7,0.02792,-0.03129
1784787587.2499,108,8,0.02675,-0.04754
1784787587.2499,108,9,0.02907,-0.0559
1784787587.2499,108,10,0.02759,-0.05043
1784787587.2499,108,11,0.03238,-0.0486
1784787587.2499,108,12,0.05001,-0.11724
1784787587.2499,108,13,0.05721,-0.13177
1784787587.2499,108,14,0.06075,-0.15126
1784787587.2499,108,15,0.06069,-0.1436
1784787587.2499,108,16,0.05372,-0.09638
1784787587.2499,108,17,0.05103,-0.09285
1784787587.2499,108,18,0.03002,-0.1119
1784787587.2499,108,19,0.03795,-0.11616
1784787587.2499,108,20,0.04304,-0.12219
1784787587.2499,108,21,0.04782,-0.14201
1784787587.2499,108,22,0.05317,-0.17827
1784787587.2499,108,23,0.05491,-0.19936
1784787587.2499,108,24,0.05406,-0.21027
1784787587.2499,108,25,0.04677,-0.19429
1784787587.2499,108,26,0.04591,-0.19704
1784787587.2499,108,27,0.0469,-0.21175
1784787587.2499,108,28,0.05114,-0.21721
1784787587.2499,108,29,0.04992,-0.20844
1784787587.2499,108,30,0.05073,-0.20006
1784787587.2499,108,31,0.04832,-0.20062
1784787587.2499,108,32,0.05498,-0.22174
1784787587.2499,108,33,0.04583,-0.19278
1784787587.2499,108,34,0.04963,-0.18132
1784787587.2499,108,35,0.04606,-0.16335
1784787587.2499,108,36,0.04457,-0.14863
1784787587.2499,108,37,0.04296,-0.148
1784787587.2499,108,38,0.03669,-0.13436
1784787587.2499,108,39,0.03931,-0.14227
1784787587.2499,108,40,0.03897,-0.14795
1784787587.2499,108,41,0.04184,-0.1586
1784787587.2499,108,42,0.03966,-0.15562
1784787587.2499,108,43,0.03465,-0.15167
1784787587.2499,108,44,0.02419,-0.05761
1784787587.2499,108,45,0.0244,-0.03744
1784787587.2499,108,46,0.02823,-0.03922
1784787587.2499,108,47,0.02574,-0.02909
1784787587.2499,108,48,0.02492,-0.01435
1784787587.2499,108,49,0.02917,-0.00859
1784787587.2499,108,50,0.02266,-0.06102
1784787587.2499,108,51,0.01863,-0.05559
1784787587.2499,108,52,0.02023,-0.05976
1784787587.2499,108,53,0.01873,-0.05244
1784787587.2499,108,54,0.01423,-0.04925
1784787587.2499,108,55,0.01123,-0.0616
1784787587.2499,108,56,0.01416,-0.02663
